,id2,Location,Host,tip
21,Arthroderma_uncinatum,Reference,Human and animal,Arthroderma uncinatum
1,AB05_aejpp,Kuala Koh,Anthropophilic,AB05_aejpp
2,D29_aejpw,Garam,Anthropophilic,D29_aejpw
3,F16_aejql,Lubuk Legong,Anthropophilic,F16_aejql
22,Microsporum_canis,Reference,Human and animal,Microsporum canis
5,C05_aejrs,Taman Negara,Anthropophilic,C05_aejrs
7,Trichophyton_benhamiae,Reference,Human and animal,Trichophyton benhamiae
8,Trichophyton_equinum,Reference,Human and animal,Trichophyton equinum
10,Trichophyton_indotineae,Reference,Human and animal,Trichophyton indotineae
11,Trichophyton_interdigitale,Reference,Anthropophilic,Trichophyton interdigitale
15,Trichophyton_kuryangei,Reference,Anthropophilic,Trichophyton kuryangei
12,Trichophyton_mentagrophytes,Reference,Human and animal,Trichophyton mentagrophytes
17,Trichophyton_rubrum,Reference,Anthropophilic,Trichophyton rubrum
13,Trichophyton_schoenleinii,Reference,Anthropophilic,Trichophyton schoenleinii
14,Trichophyton_simii,Reference,Human and animal,Trichophyton simii
16,Trichophyton_soudanense,Reference,Anthropophilic,Trichophyton soudanense
9,Trichophyton_tonsurans,Reference,Anthropophilic,Trichophyton tonsurans
20,Trichophyton_verrucosum,Reference,Human and animal,Trichophyton verrucosum
18,Trichophyton_violaceum,Reference,Anthropophilic,Trichophyton violaceum
19,Trichophyton_yaoundei,Reference,Anthropophilic,Trichophyton yaoundei
